Row Number,Date,County,Total Cases by Date of Specimen Collection,Deaths by Date of Death
1,4/23/2022,Guilford ,57,0
2,4/22/2022,Guilford ,91,0
3,4/21/2022,Guilford ,106,0
4,4/20/2022,Guilford ,140,0
5,4/19/2022,Guilford ,116,0
6,4/18/2022,Guilford ,123,1
7,4/17/2022,Guilford ,42,0
8,4/16/2022,Guilford ,63,1
9,4/15/2022,Guilford ,83,0
10,4/14/2022,Guilford ,118,0
11,4/13/2022,Guilford ,89,2
12,4/12/2022,Guilford ,79,0
13,4/11/2022,Guilford ,80,0
14,4/10/2022,Guilford ,40,0
15,4/9/2022,Guilford ,44,2
16,4/8/2022,Guilford ,44,0
17,4/7/2022,Guilford ,54,0
18,4/6/2022,Guilford ,26,0
19,4/5/2022,Guilford ,26,0
20,4/4/2022,Guilford ,32,0
21,4/3/2022,Guilford ,17,0
22,4/2/2022,Guilford ,11,1
23,4/1/2022,Guilford ,22,0
24,3/31/2022,Guilford ,32,0
25,3/30/2022,Guilford ,26,1
26,3/29/2022,Guilford ,24,1
27,3/28/2022,Guilford ,21,0
28,3/27/2022,Guilford ,9,1
29,3/26/2022,Guilford ,13,0
30,3/25/2022,Guilford ,12,1
31,3/24/2022,Guilford ,24,0
32,3/23/2022,Guilford ,37,1
33,3/22/2022,Guilford ,37,1
34,3/21/2022,Guilford ,39,0
35,3/20/2022,Guilford ,12,0
36,3/19/2022,Guilford ,9,1
37,3/18/2022,Guilford ,15,0
38,3/17/2022,Guilford ,27,0
39,3/16/2022,Guilford ,27,0
40,3/15/2022,Guilford ,22,2
41,3/14/2022,Guilford ,31,0
42,3/13/2022,Guilford ,7,1
43,3/12/2022,Guilford ,17,0
44,3/11/2022,Guilford ,23,0
45,3/10/2022,Guilford ,29,1
46,3/9/2022,Guilford ,22,2
47,3/8/2022,Guilford ,35,1
48,3/7/2022,Guilford ,36,1
49,3/6/2022,Guilford ,15,2
50,3/5/2022,Guilford ,22,3
51,3/4/2022,Guilford ,41,3
52,3/3/2022,Guilford ,39,1
53,3/2/2022,Guilford ,44,3
54,3/1/2022,Guilford ,47,1
55,2/28/2022,Guilford ,66,1
56,2/27/2022,Guilford ,21,1
57,2/26/2022,Guilford ,26,3
58,2/25/2022,Guilford ,47,2
59,2/24/2022,Guilford ,60,4
60,2/23/2022,Guilford ,90,1
61,2/22/2022,Guilford ,99,2
62,2/21/2022,Guilford ,112,5
63,2/20/2022,Guilford ,56,0
64,2/19/2022,Guilford ,69,0
65,2/18/2022,Guilford ,98,3
66,2/17/2022,Guilford ,113,1
67,2/16/2022,Guilford ,148,3
68,2/15/2022,Guilford ,185,2
69,2/14/2022,Guilford ,163,2
70,2/13/2022,Guilford ,84,1
71,2/12/2022,Guilford ,105,1
72,2/11/2022,Guilford ,167,3
73,2/10/2022,Guilford ,209,3
74,2/9/2022,Guilford ,206,1
75,2/8/2022,Guilford ,221,1
76,2/7/2022,Guilford ,279,2
77,2/6/2022,Guilford ,110,3
78,2/5/2022,Guilford ,138,5
79,2/4/2022,Guilford ,306,8
