RowNumber,Date,County,TotalCasesbyDateofSpecimenCollection,DeathsbyDateofDeath
1,4/23/2022,Alamance,23,0
2,4/23/2022,Alexander,0,0
3,4/23/2022,Alleghany,1,0
4,4/23/2022,Anson,0,0
5,4/23/2022,Ashe,0,0
6,4/23/2022,Avery,0,0
7,4/23/2022,Beaufort,5,0
8,4/23/2022,Bertie,0,0
9,4/23/2022,Bladen,0,0
10,4/23/2022,Brunswick,14,0
11,4/23/2022,Buncombe,22,0
12,4/23/2022,Burke,3,0
13,4/23/2022,Cabarrus,18,0
14,4/23/2022,Caldwell,6,0
15,4/23/2022,Camden,0,0
16,4/23/2022,Carteret,6,0
17,4/23/2022,Caswell,3,0
18,4/23/2022,Catawba,8,0
19,4/23/2022,Chatham,4,0
20,4/23/2022,Cherokee,1,0
21,4/23/2022,Chowan,1,0
22,4/23/2022,Clay,0,0
23,4/23/2022,Cleveland,8,0
24,4/23/2022,Columbus,2,0
25,4/23/2022,Craven,7,1
26,4/23/2022,Cumberland,15,0
27,4/23/2022,Currituck,0,0
28,4/23/2022,Dare,4,0
29,4/23/2022,Davidson,6,0
30,4/23/2022,Davie,4,0
31,4/23/2022,Duplin,0,0
32,4/23/2022,Durham,73,0
33,4/23/2022,Edgecombe,1,0
34,4/23/2022,Forsyth,38,0
35,4/23/2022,Franklin,9,0
36,4/23/2022,Gaston,17,0
37,4/23/2022,Gates,0,0
38,4/23/2022,Graham,1,0
39,4/23/2022,Granville,4,0
40,4/23/2022,Greene,0,0
41,4/23/2022,Guilford,57,0
42,4/23/2022,Halifax,0,0
43,4/23/2022,Harnett,9,2
44,4/23/2022,Haywood,2,0
45,4/23/2022,Henderson,8,0
46,4/23/2022,Hertford,0,0
47,4/23/2022,Hoke,4,0
48,4/23/2022,Hyde,0,0
49,4/23/2022,Iredell,8,0
50,4/23/2022,Jackson,0,0
51,4/23/2022,Johnston,18,0
52,4/23/2022,Jones,0,0
53,4/23/2022,Lee,5,0
54,4/23/2022,Lenoir,1,0
