County,Total Cases,"Total Cases Per 10000 Residents","Total Cases Per 100000 Residents",Deaths
Alamance,"47123","2780.0","27800",476
Alexander,"10432","2782.1","27821",133
Alleghany,"2957","2655.1","26551",12
Anson,"6550","2679.4","26794",96
Ashe,"6402","2353.4","23534",73
Avery,"4592","2615.5","26155",43
Beaufort,"12609","2683.1","26831",162
Bertie,"4246","2241.0","22410",67
Bladen,"9334","2852.5","28525",121
Brunswick,"30083","2106.4","21064",309
Buncombe,"53081","2032.3","20323",557
Burke,"25165","2781.1","27811",316
Cabarrus,"56031","2588.6","25886",470
Caldwell,"22292","2712.6","27126",300
Camden,"1766","1625.1","16251",9
Carteret,"14138","2035.0","20350",117
Caswell,"5305","2346.9","23469",43
Catawba,"47695","2989.3","29893",567
Chatham,"12979","1742.8","17428",109
Cherokee,"7101","2481.8","24818",118
Chowan,"4143","2971.4","29714",56
Clay,"2627","2339.1","23391",40
Cleveland,"29608","3022.9","30229",364
Columbus,"15938","2871.3","28713",266
Craven,"24437","2392.5","23925",196
Cumberland,"86572","2580.3","25803",562
Currituck,"5007","1803.5","18035",32
Dare,"7444","2011.4","20114",24
Davidson,"43217","2578.4","25784",395
Davie,"11205","2615.2","26152",94
Duplin,"16855","2869.4","28694",243
Durham,"72880","2267.0","22670",300
Edgecombe,"13551","2632.7","26327",142
Forsyth,"92930","2430.8","24308",794
Franklin,"20487","2939.9","29399",67
Gaston,"65452","2915.1","29151",803
Gates,"1907","1649.4","16494",19
Graham,"2297","2721.2","27212",30
Granville,"14362","2376.1","23761",111
Greene,"5806","2755.7","27557",61
Guilford,"118963","2214.6","22146","1169"
Halifax,"13946","2788.6","27886",184
Harnett,"33422","2457.9","24579",331
Haywood,"13023","2089.8","20898",204
Henderson,"25080","2136.0","21360",296
Hertford,"4756","2008.7","20087",81
Hoke,"14872","2692.5","26925",108
Hyde,"1317","2667.6","26676",13
Iredell,"48612","2673.8","26738",445
Jackson,"9545","2172.4","21724",86
Johnston,"59729","2853.2","28532",439
Jones,"2219","2355.9","23559",38
Lee,"16004","2590.5","25905",146
Lenoir,"15783","2821.0","28210",208
Lincoln,"24366","2829.6","28296",158
Macon,"7940","2214.3","22143",117
Madison,"5139","2362.2","23622",80
Martin,"6083","2710.8","27108",89
McDowell,"13778","3011.2","30112",170
Mecklenburg,"280951","2530.3","25303","1561"
Mitchell,"3464","2314.9","23149",34
Montgomery,"7278","2678.4","26784",126
Moore,"24350","2413.8","24138",319
Nash,"26582","2818.9","28189",300
New Hanover,"50916","2171.5","21715",388
Northampton,"4325","2219.9","22199",82
Onslow,"51999","2627.0","26270",375
Orange,"27446","1848.5","18485",125
Pamlico,"2610","2050.9","20509",27
Pasquotank,"8516","2138.4","21384",111
Pender,"15316","2428.8","24288",120
Perquimans,"2753","2044.9","20449",18
Person,"9334","2363.6","23636",104
Pitt,"52475","2903.3","29033",175
Polk,"3901","1882.4","18824",57
Randolph,"35612","2478.8","24788",404
Richmond,"12829","2861.8","28618",185
Robeson,"40482","3099.1","30991",523
Rockingham,"22052","2423.0","24230",268
Rowan,"41294","2906.2","29062",567
Rutherford,"17516","2613.2","26132",397
Sampson,"18842","2965.8","29658",171
Scotland,"10052","2886.6","28866",126
Stanly,"19374","3084.7","30847",249
Stokes,"11223","2461.7","24617",173
Surry,"21089","2937.9","29379",331
Swain,"3610","2529.6","25296",39
Transylvania,"6160","1791.5","17915",72
Tyrrell,"978","2435.3","24353",8
Union,"61999","2584.8","25848",481
Vance,"11866","2664.4","26644",113
Wake,"293979","2644.3","26443","1056"
Warren,"4337","2198.1","21981",39
Washington,"3041","2626.1","26261",50
Watauga,"12659","2253.4","22534",58
Wayne,"31305","2542.4","25424",387
Wilkes,"17556","2566.2","25662",259
Wilson,"21753","2659.3","26593",303
Yadkin,"10943","2905.2","29052",114
Yancey,"5305","2936.0","29360",51
